0.jpg,"the bird has small beak when compared to its body, with gray and white wingbars.
"
2973.jpg,"small black bird with an orange and yellow spot on its covert, short tarsus and medium beak
"
2974.jpg,"this is a small bird that is fully black with the exception of one of its covarts, which is orange and yellow.
"
2975.jpg,"a primarily all black bird with a small orange and white stripes on the upper swing.
"
2976.jpg,"the bird has a black body with red and yellow wing bars and navy blue rectrices.
"
2977.jpg,"the bird has small specks of red and orange on the wing bars.
"
2978.jpg,"the bird is black with a white detail on the wing and speck of orange on the wingbar.
"
2979.jpg,"this bird is stark black from outer rectrices to beak, with bright orange wing bars and yellow secondaries.
"
2980.jpg,"a small bird has a short neck with a black breast, a black crown, and black secondaries.
"
2981.jpg,"this mostly black bird has a red and white spot on its shoulder
"
2982.jpg,"this black bird has red and yellow on its wings and a long black beak.
"
2983.jpg,"a bird with a pointed bill, red and white wingbars, and with black covering the rest of its body.
"
2984.jpg,"a large bird is black and has a bright patch on it's coverts, a sharp black bill, and a black crown.
"
2985.jpg,"this small bird has mostly black featrues with white speckles through out and a dab of red at the stem of his wings.
"
2986.jpg,"a black bird with orange and yellow wingbars and black eyes.
"
2987.jpg,"this bird is mostly black, shows significant head, a short, pointy black bill, and red coverts with white tipping.
"
2988.jpg,"this bird has a yellow beak, white breast, grey wings, and red feet.
"
2989.jpg,"long bird with an orange beak and white feathers with grey colored wings.
"
2990.jpg,"white and gray feathered bird with large mouth and downward curved beak.
"
2991.jpg,"this white and grey bird has a yellow bill,black outer rectrices and amazing colorful red feet.
"
2992.jpg,"the bird has a white head and grey body with orange webbed feet.
"
2993.jpg,"this medium sized bird resembles an albatross, standing with orange pads, all gray wings and a snowy white head.
"
2994.jpg,"a small bird with a white head and black wings with orange feet
"
2995.jpg,"gorgeous white bird soars through the air with its grey wings outstretched and orange beak leading the way.
"
2996.jpg,"this adorable bird has a white body with grey wings, orange feet and a yellow beak.
"
2997.jpg,"this bird is nearly all white with black tips on its secodaries and orange feet.
"
2998.jpg,"the bird has a round head with short bill, and is all white with grey wings.
"
2999.jpg,"with a slightly curved yellow beak, red webbed feet, a white head and breast, and it's black wings, this bird is beautiful to look at.
"
3000.jpg,"a large bird with white, gray, and black colored body.
"
3001.jpg,"this small white bird has a yellow beak, grey back, and orange legs.
"
3002.jpg,"the bird is white with grey wings and orange webbed feet and tarsals.
"
3003.jpg,"this bird has a larger white breast, gray wings, and a small yellow bill not proportionate to its body.
"
3004.jpg,"this bird is nearly all white, with the wings being light gray, and a small yellow bill.
"
3005.jpg,"this bird is all white except for the wings which are gray. it has orange webbed feet.
"
3006.jpg,"this bird is almost entirely light gray, with darker primaries and secondaries.
"
3007.jpg,"a medium-sized bird with a white head, breast and belly, and a grey back and wings, with a small, yellow downward-curved bill.
"
3008.jpg,"solid white bird with deep grey wings and bright orange feet.
"
3009.jpg,"this bird has a white belly, breast, and head, with a beak that is curved down at the end; it has grey wings and tail with red feet.
"
3010.jpg,"a small sized bird that has a white belly and medium sized curved bill
"
3011.jpg,"a bird has a white belly, bright orange webbed feet, and a dark brown back.
"
3012.jpg,"this white and grey with a small flat bill, and a grey wings
"
3013.jpg,"the bird has webbed feet that is orange and a yellow bill.
"
3014.jpg,"white bird with long yellow beak and red feet and grayish blue wing feather
"
3015.jpg,"this white bird has it's long wings extended and a short yellow beak, orange feet, and black at the ends of his feathers.
"
3016.jpg,"the head and belly of the bird is white and the yellow beak is curved.
"
3017.jpg,"a white bird, with a yellow beak and orange feet.
"
3018.jpg,"a bird with a downward hooked bill, white head and breast, and gray wings.
"
3019.jpg,"the bird has webbed feet that are red a well as a yellow bill.
"
3020.jpg,"the flying seagull with orange feet is looking for fish in the ocean.
"
3021.jpg,"the white bird has orange feet and the bill is pale yellow.
"
3022.jpg,"a white large bird with orange legs and gray secondaries and primaries, and a short yellow bill.
"
3023.jpg,"a bird with small rounded bill, black primaries, and white body
"
3024.jpg,"the bird has head and beak proportional to its body, it has yellow beak and red feet and white body.
"
3025.jpg,"this is a white bird with grey wings that have black tips.
"
3026.jpg,"this bird has black eyes, a white crown and orange tarsus and feet.
"
3027.jpg,"with a yellow beak, this white-bodied bird has gray primaries and secondaries.
"
3028.jpg,"this bird's body is pure white, and it's wings are soft gray with white primaries.
"
3029.jpg,"these birds have really long wings with bright orange feet.
"
3030.jpg,"the bird has a white breast and belly as well as tiny eyering.
"
3031.jpg,"the bird is medium sized, has black and white colors, and a thick yellow beak that curves downward.
"
3032.jpg,"this white bird has gray wings, a pointed yellow beak, and bright red webbed feet.
"
3033.jpg,"this young bird is white and fuzzy with a black beak.
"
3034.jpg,"the bird has a white head and tail, gray wings, and red tarsus and feet.
"
3035.jpg,"this is a white bird with grey wings and a yellow beak.
"
3036.jpg,"this large headed white bird had a yellow beak and orange feet.
"
3037.jpg,"the bird has a white head and a red eyering with a yellow curved beak.
"
3038.jpg,"a medium sized white bird, with black tipped wings and narrow yellow beak
"
3039.jpg,"this bird has a yellow bill gray primaries and a white breast and body.
"
3040.jpg,"birds head is white beek yellow and wings are grey feet are orange and short.
"
3041.jpg,"this redheaded bird has an all white underside and black wings and tail with large white wing patches.
"
3042.jpg,"the head of the bird is read and the body is black and white.
"
3043.jpg,"the bird has a red head, long beak and white and black body.
"
3044.jpg,"this bird has a white belly with dark blue wings and a red head.
"
3045.jpg,"a medium bird with a red head and black and white feathers.
"
3046.jpg,"a bird with a small pointed bill, and a vivid red head that stands in contrast of its speckled white and black breast.
"
3047.jpg,"a small brownish bird with a red crowned head and a small black beak.
"
3048.jpg,"red-headed woodpeckers are medium-sized woodpeckers with fairly large bright-red heads, white underparts, and black backs with large white patches in the wings, making the lower back appear all white when perched.
"
3049.jpg,"brilliantly colored bird with a solid red head, blue and white wings and blue tarsus with white breast and belly.
"
3050.jpg,"a bird with black and white wings, white belly, and red head.
"
3051.jpg,"this bird has a bright red head with a white beak, black back, and white breast.
"
3052.jpg,"a medium sized bird that has a red tipped head and cream belly
"
3053.jpg,"this bird's tri-colored markings are a vibrant red head, and a bright white breast under a wing made up of a band of black, a band of white and a black tip to match its black tail.
"
3054.jpg,"the bird has a red throat and a black and white belly.
"
3055.jpg,"this bird has a red head and it's body is black and white.
"
3056.jpg,"this bird has a red head, black, white, and brown wings, and a pointy beak.
"
3057.jpg,"the bird has a red crown and a white breast.
"
3058.jpg,"this majestic bird has an entirely red head from its nape and breast upwards, a white breast and belly, and a straight white and black beak.
"
3059.jpg,"this is a large white bird with black wings and a red head.
"
3060.jpg,"this bird has a white belly and breast, red neck and crown, and a black back and primaries.
"
3061.jpg,"this bird has a bright red head and a white body.
"
3062.jpg,"the head of the bird is red and the body is black and white.
"
3063.jpg,"a small bird with a white and black body, and a red head.
"
3064.jpg,"white bird with black and white stripes across the top feathers and a red head and black and white beak.
"
3065.jpg,"this bird is mostly black but with a distinctly colorful head including white and red stripes as well as a long straight beak
"
3066.jpg,"the bird has a red crown and a small bill that is black.
"
3067.jpg,"a bird has a red crown, a white breast and belly, and a long white wingbar.
"
